"","ECOREGION","PROVINCE","area_km2","geometry"
"1","Agulhas Bank","Agulhas",598313.61496556,list(list(c(28.3599325705664, 28.2835013487697, 28.2272704465851, 28.1319722993723, 28.0076000925822, 27.8677487873993, 27.7873007482553, 27.6904722688121, 27.6353262268853, 27.4087532156794, 27.2052009724378, 27.1205130957745, 26.9735593588923, 26.9041602597987, 26.7216531655786, 26.4417524822339, 26.1170119262641, 25.899000236846, 25.7207201279342, 25.4652015783627, 25.3411293152543, 25.1573355088463, 24.9119396102254, 24.8330536565742, 24.5200190043903, 24.2232980763011, 24.1020470160763, 23.8405893303335, 
23.7082067372226, 23.3941942000356, 23.3303091752541, 23.2502865756846, 23.1702855220723, 23.103104148405, 22.9263572081853, 22.8741208210609, 22.7935374582332, 22.6095860258545, 22.5072495191404, 22.4341849543266, 22.3531079230601, 22.2747059980149, 21.980973726571, 21.8482936476253, 21.6972754662006, 21.6327289424025, 21.5407437761372, 21.3140490488892, 21.1213777235645, 20.9155954692584, 20.426160313687, 20.001705247762, 19.8782442106695, 19.7997067721836, 19.4339728734107, 19.2741820663934, 18.6270335925511, 
18.442297622211, 18.3715123971743, 18.1491616462386, 18.0213556876463, 17.8839704538695, 17.6263071318747, 17.1828054020329, 17.1036331132408, 16.6813222522669, 16.3778122549442, 16.2590947395593, 16.0691584341888, 17.8661214827496, 18.4503244517357, 18.4038977361819, 18.4116353959027, 18.4812756589903, 18.6540862963654, 21.2912327795597, 21.3341794390188, 21.3720599530861, 21.4237246151162, 21.5317995401165, 21.6588340000175, 21.7467539654103, 21.8406287529493, 22.0075131072634, 22.0886188655735, 
22.5908187039504, 22.7567147770988, 22.906996992945, 23.1596166606926, 23.2765626789537, 23.3876485628863, 23.4548771860338, 23.5914247705882, 23.681931579141, 23.8003032242666, 23.885745399188, 23.9808681543233, 24.2791789506608, 24.4086002912672, 24.4780458844104, 24.5720518380674, 24.7763409929743, 24.8806461246037, 24.9374699192254, 25.071952301571, 25.2238119120688, 25.3181588220894, 25.4687086617823, 25.5631546078428, 25.6391809917341, 25.8580361876591, 26.2037623593308, 27.0348749280059, 28.3599325705664, 
-36.6443481954022, -36.6769469156484, -36.696816863917, -36.744286670717, -36.7794590032975, -36.8412381900043, -36.8732186902072, -36.9026008197404, -36.9232267677844, -36.9947880267934, -37.0540081521964, -37.0659047572186, -37.1452652902993, -37.1684151442497, -37.211490512879, -37.3051487068011, -37.3471435615959, -37.3999129283237, -37.4084950406381, -37.4869234264354, -37.5000553348011, -37.5443601476909, -37.5560422374294, -37.571733773672, -37.542328208706, -37.5254752673105, -37.4948604802393, 
-37.467067841239, -37.4284179086122, -37.4760368355952, -37.4718625820341, -37.4718177904011, -37.4643341450869, -37.4856352015877, -37.5445969643622, -37.5716262327437, -37.5880335124096, -37.6476739737345, -37.6607584437625, -37.6829519577677, -37.6960967183445, -37.7172726566681, -37.7430373253916, -37.7534784415613, -37.7679403437863, -37.7722790275886, -37.8169554142605, -37.924213480565, -37.9873220936589, -38.0328552176633, -38.1614383433737, -38.1877656657302, -38.1823279465564, -38.1720448340727, 
-38.1363988672502, -38.1202856721831, -37.9530242636183, -37.9108608201173, -37.8856846974073, -37.7760932366758, -37.7320643636637, -37.6402664956001, -37.6067104911206, -37.4563874505508, -37.41973505964, -37.1990824733113, -36.9612021594265, -36.8883214915785, -36.7152538135783, -34.8632496182135, -34.3280526482402, -34.1861932172204, -34.0623885779589, -33.9850106551505, -33.9231084303981, -30.4893592660057, -30.6029390049992, -30.6989901275674, -30.8488238470209, -30.8498595674238, -30.8229236648568, 
-30.803087359326, -30.7950747040157, -30.7476370272939, -30.7365748573172, -30.6977797723163, -30.6883114392959, -30.7061218537825, -30.7254007990896, -30.7192080253278, -30.6959449602236, -30.7036172257431, -30.6913346829672, -30.6889598981431, -30.7035074167246, -30.6986495498183, -30.718666351079, -30.7489339449883, -30.7431439298992, -30.7141825149026, -30.6773033230698, -30.6073527219363, -30.5731996665546, -30.5636037584091, -30.5235038173983, -30.5041798898018, -30.4773097600507, -30.4620126673496, 
-30.439695735785, -30.4328715129528, -30.4129223739836, -33.1927837026276, -34.4659774770333, -36.6443481954022)))
"2","Aleutian Islands","Cold Temperate Northeast Pacific",1219868.45215949,list(list(c(-173.394187683209, -168.555931702399, -165.677202583584, -165.104209748229, -164.9849046563, -164.936920006524, -164.929900585845, -164.905090240787, -164.894219621007, -164.803649147649, -164.80302371864, -164.700444725029, -164.696943149957, -164.530197872197, -164.529345742991, -163.762014932647, -164.017157183398, -164.159916633422, -164.327407675773, -164.506955219005, -164.74227760743, -164.813812027972, -164.935238669132, -164.989662730837, -165.189534577814, -165.383877607892, 
-165.463439615188, -165.801779665825, -166.210362511819, -166.414456619066, -166.568500123395, -166.649348654021, -166.782461731343, -167.216412535328, -167.303663629063, -167.399599462144, -167.519412799623, -167.704379727551, -167.781836464244, -167.912307700367, -168.222390172407, -168.36292471322, -168.454760758403, -168.539911495431, -168.601174711412, -168.901772596085, -169.06818615082, -169.146121623609, -169.23861671176, -169.423019664952, -169.491264163163, -169.625495553723, -169.745049581587, 
-169.957126671914, -170.197238696582, -170.371471749342, -170.630355255279, -170.817643672409, -170.958433740288, -171.251579166337, -171.328677180559, -171.660196221642, -171.830022359937, -171.901586265651, -172.318342227589, -172.434916671168, -172.547135421169, -172.706270964169, -172.940334989734, -173.394956156581, -173.495025609156, -173.5867488209, -173.703098165975, -173.827484735837, -174.136832186586, -174.370569242943, -174.485441930923, -174.608063619074, -174.719756570558, -174.892443602415, 
-174.990669926867, -175.079836157439, -175.294179734433, -175.401881006418, -175.497352655333, -175.627262561625, -175.80136425941, -175.918929629062, -176.023303744986, -176.207860166583, -176.295175709331, -176.652824190447, -176.938628665708, -177.334503907966, -177.634783706035, -177.74689170183, -177.827140345991, -178.15483119173, -178.430709955874, -178.537638596022, -179.112762760734, -179.66495763472, -179.999999635853, -179.999999635853, -179.999999635853, -179.999988540917, -179.774417739577, 
-179.50331368383, -179.334436702595, -179.17705659123, -178.880926667001, -178.781765170846, -178.60022065337, -178.488607837774, -178.160131885703, -178.07640753187, -177.966545234014, -177.619352611654, -177.524928590165, -177.439693937399, -177.145821994949, -176.791457578879, -176.46926568805, -176.322035633575, -175.508086721157, -175.446648302856, -175.336823426689, -175.122254183718, -175.021493180382, -174.936047603325, -174.69186621842, -174.520784931442, -174.17934357868, -173.686597142779, 
